,Date,Close
639,2017-08-19,4193.7
640,2017-08-18,4160.62
641,2017-08-17,4331.69
642,2017-08-16,4376.63
643,2017-08-15,4181.93
644,2017-08-14,4325.13
645,2017-08-13,4073.26
646,2017-08-12,3884.71
647,2017-08-11,3650.62
648,2017-08-10,3381.28
649,2017-08-09,3342.47
650,2017-08-08,3419.94
651,2017-08-07,3378.94
652,2017-08-06,3213.94
653,2017-08-05,3252.91
654,2017-08-04,2895.89
655,2017-08-03,2804.73
656,2017-08-02,2710.67
657,2017-08-01,2718.26
658,2017-07-31,2875.34
659,2017-07-30,2757.18
660,2017-07-29,2726.45
661,2017-07-28,2809.01
662,2017-07-27,2671.78
663,2017-07-26,2529.45
664,2017-07-25,2576.48
665,2017-07-24,2754.86
666,2017-07-23,2730.4
667,2017-07-22,2810.12
668,2017-07-21,2667.76
669,2017-07-20,2817.6
670,2017-07-19,2273.43
671,2017-07-18,2318.88
672,2017-07-17,2228.41
673,2017-07-16,1929.82
674,2017-07-15,1998.86
675,2017-07-14,2233.34
676,2017-07-13,2357.9
677,2017-07-12,2398.84
678,2017-07-11,2337.79
679,2017-07-10,2372.56
680,2017-07-09,2518.44
681,2017-07-08,2571.34
682,2017-07-07,2518.66
683,2017-07-06,2608.56
684,2017-07-05,2601.99
685,2017-07-04,2601.64
686,2017-07-03,2564.06
687,2017-07-02,2506.47
688,2017-07-01,2434.55
689,2017-06-30,2480.84
690,2017-06-29,2539.32
691,2017-06-28,2574.79
692,2017-06-27,2552.45
693,2017-06-26,2478.45
694,2017-06-25,2589.41
695,2017-06-24,2608.72
696,2017-06-23,2744.91
697,2017-06-22,2705.41
698,2017-06-21,2689.1
699,2017-06-20,2721.79
700,2017-06-19,2589.6
701,2017-06-18,2548.29
702,2017-06-17,2655.88
703,2017-06-16,2518.56
704,2017-06-15,2464.58
705,2017-06-14,2506.37
706,2017-06-13,2717.02
707,2017-06-12,2659.63
708,2017-06-11,2958.11
709,2017-06-10,2947.71
710,2017-06-09,2823.81
711,2017-06-08,2805.62
712,2017-06-07,2732.16
713,2017-06-06,2863.2
714,2017-06-05,2686.81
715,2017-06-04,2511.81
716,2017-06-03,2515.35
717,2017-06-02,2488.55
718,2017-06-01,2407.88
719,2017-05-31,2286.41
720,2017-05-30,2175.47
721,2017-05-29,2255.61
722,2017-05-28,2155.8
723,2017-05-27,2038.87
724,2017-05-26,2202.42
725,2017-05-25,2304.98
726,2017-05-24,2443.64
727,2017-05-23,2320.42
728,2017-05-22,2173.4
729,2017-05-21,2041.2
730,2017-05-20,2084.73
731,2017-05-19,1987.71
732,2017-05-18,1888.65
733,2017-05-17,1839.09
734,2017-05-16,1734.45
735,2017-05-15,1738.43
736,2017-05-14,1808.91
737,2017-05-13,1804.91
738,2017-05-12,1724.24
739,2017-05-11,1848.57
740,2017-05-10,1787.13
741,2017-05-09,1755.36
742,2017-05-08,1723.35
743,2017-05-07,1596.71
744,2017-05-06,1578.8
745,2017-05-05,1555.45
746,2017-05-04,1537.67
747,2017-05-03,1490.09
748,2017-05-02,1452.82
749,2017-05-01,1421.6
750,2017-04-30,1347.89
751,2017-04-29,1321.79
752,2017-04-28,1316.48
753,2017-04-27,1317.73
754,2017-04-26,1281.08
755,2017-04-25,1265.49
756,2017-04-24,1250.15
757,2017-04-23,1207.21
758,2017-04-22,1231.71
759,2017-04-21,1222.05
760,2017-04-20,1229.08
761,2017-04-19,1210.29
762,2017-04-18,1211.67
763,2017-04-17,1193.91
764,2017-04-16,1182.94
765,2017-04-15,1172.52
766,2017-04-14,1167.54
767,2017-04-13,1169.28
768,2017-04-12,1200.37
769,2017-04-11,1205.01
770,2017-04-10,1187.13
771,2017-04-09,1187.87
772,2017-04-08,1175.95
773,2017-04-07,1176.9
774,2017-04-06,1182.68
775,2017-04-05,1124.78
776,2017-04-04,1133.25
777,2017-04-03,1143.81
778,2017-04-02,1102.17
779,2017-04-01,1080.5
780,2017-03-31,1071.79
781,2017-03-30,1026.43
782,2017-03-29,1039.97
783,2017-03-28,1047.15
784,2017-03-27,1045.77
